title,platform,type,url,price
it's a wonderful life,Sky Store,rent,https://www.skystore.com/product/its-a-wonderful-life/997b47ac-58fe-490f-b088-acc8fd1e6833,3.49
it's a wonderful life,Windows Store,rent,https://www.microsoft.com/en-gb/p/Its%20A%20Wonderful%20Life/8D6KGWZL62B4,2.49
the silence of the lambs,Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.64a9f693-56af-a35d-68ff-749b64c66810,
the silence of the lambs,YouTube,rent,https://www.youtube.com/results?search_query=The+Silence+Of+The+Lambs%2Bmovie,3.49
the silence of the lambs,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.64a9f693-56af-a35d-68ff-749b64c66810,3.49
the silence of the lambs,AppleTV,rent,https://tv.apple.com/gb/movie/the-silence-of-the-lambs/umc.cmc.vo1hrvp25kr64fq8irp5jx75?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A300887252,3.49
the silence of the lambs,Sky Store,rent,https://www.skystore.com/product/the-silence-of-the-lambs/d5f32c47-a4fb-4dba-bc1c-4d50ff47f73e,3.49
the silence of the lambs,Chili,rent,https://uk.chili.com/content/the-silence-of-the-lambs-1991/3d3ccf48-dfb2-471a-aef4-2050bc80e6d8,3.49
the silence of the lambs,Windows Store,rent,https://www.microsoft.com/en-gb/p/The%20Silence%20Of%20The%20Lambs/8D6KGWZL5ZVL,3.49
seven samurai,BFI Player,subscription,https://player.bfi.org.uk/subscription/film/watch-seven-samurai-1954-online,
seven samurai,AppleTV,rent,https://tv.apple.com/gb/movie/seven-samurai/umc.cmc.3j1e4hzd95tf9vtnjot79gwbp?at=1000l3V2&ct=app_tv&itscg=30200&itsct=&playableId=tvs.sbd.9001%3A956925574,3.49
seven samurai,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.56b5fdff-d5e0-4c91-b19b-b9024bf20f70,3.49
saving private ryan,Sky Go,subscription,https://www.sky.com/watch/sky-go/all?uuid=89a529b2-76ae-4e72-a31b-709a06d70ba6&videoId=A5EK6sKrAaydU7QfSrXkN,
saving private ryan,Paramount Plus,subscription,https://www.paramountplus.com/movies/saving-private-ryan/cA6RHYSln7H018wfcs_dtX0iOKatacNr?searchReferral=,
saving private ryan,Prime Video,subscription,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.a403e497-c5df-48cf-a634-fade591c4b8a,
saving private ryan,Now TV,subscription,https://www.nowtv.com/gb/watch/saving-private-ryan-1998/A5EK6sKrAaydU7QfSrXkN,
saving private ryan,Amazon,rent,https://watch.amazon.co.uk/detail?gti=amzn1.dv.gti.a403e497-c5df-48cf-a634-fade591c4b8a,3.49
saving private ryan,YouTube,rent,https://www.youtube.com/results?search_query=Saving+Private+Ryan%2Bmovie,3.49
saving private ryan,Rakuten TV,rent,https://www.rakuten.tv/uk/movies/saving-private-ryan,3.49
