rank,title,release_year,duration,rate_type,star_rating,vote_count,transformed_title
187, Spider-Man: No Way Home,2021,2h 28m,12A,8.2, (960K),spider-man: no way home
188, Hacksaw Ridge,2016,2h 19m,15,8.1, (642K),hacksaw ridge
189, The Grand Budapest Hotel,2014,1h 39m,15,8.1, (932K),the grand budapest hotel
190, 12 Years a Slave,2013,2h 14m,15,8.1, (768K),12 years a slave
191, Before Sunrise,1995,1h 41m,15,8.1, (362K),before sunrise
192, Blade Runner,1982,1h 57m,AA,8.1, (857K),blade runner
193, Memories of Murder,2003,2h 11m,15,8.1, (245K),memories of murder
194, Gone Girl,2014,2h 29m,18,8.1, (1.1M),gone girl
195, Ratatouille,2007,1h 51m,U,8.1, (893K),ratatouille
196, How to Train Your Dragon,2010,1h 38m,PG,8.1, (855K),how to train your dragon
197," Monsters, Inc.",2001,1h 32m,U,8.1, (1M),"monsters, inc."
198, In the Name of the Father,1993,2h 13m,15,8.1, (197K),in the name of the father
199, Wild Tales,2014,2h 2m,15,8.1, (230K),wild tales
200, The Gold Rush,1925,1h 35m,U,8.1, (125K),the gold rush
201, Jaws,1975,2h 4m,A,8.1, (701K),jaws
202, Sherlock Jr.,1924,45m,U,8.2, (63K),sherlock jr.
203, Le Mans '66,2019,2h 32m,12A,8.1, (530K),le mans '66
204, Mary and Max,2009,1h 32m,12A,8.1, (197K),mary and max
205, The Deer Hunter,1978,3h 3m,X,8.1, (377K),the deer hunter
206, The Wages of Fear,1953,2h 36m,12A,8.1, (71K),the wages of fear
207, The General,1926,1h 18m,U,8.1, (103K),the general
208, Mr. Smith Goes to Washington,1939,2h 9m,U,8.1, (127K),mr. smith goes to washington
209, On the Waterfront,1954,1h 48m,A,8.1, (173K),on the waterfront
210, Logan,2017,2h 17m,15,8.1, (895K),logan
211, Wild Strawberries,1957,1h 32m,A,8.1, (121K),wild strawberries
212, Rocky,1976,2h,A,8.1, (664K),rocky
213, The Third Man,1949,1h 44m,A,8.1, (191K),the third man
214, Tokyo Story,1953,2h 17m,U,8.1, (75K),tokyo story
215, Spotlight,2015,2h 9m,15,8.1, (521K),spotlight
216, The Big Lebowski,1998,1h 57m,18,8.1, (894K),the big lebowski
217, The Terminator,1984,1h 47m,18,8.1, (970K),the terminator
218, Maharaja,2024,2h 21m,15,8.4, (71K),maharaja
219, Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,12A,8.1, (1.3M),pirates of the caribbean: the curse of the black pearl
220, The Seventh Seal,1957,1h 36m,X,8.1, (210K),the seventh seal
221, La haine,1995,1h 38m,15,8.1, (214K),la haine
222, Room,2015,1h 58m,15,8.1, (470K),room
223, Jai Bhim,2021,2h 44m,Not Rated,8.6, (227K),jai bhim
224, Hotel Rwanda,2004,2h 1m,12A,8.1, (385K),hotel rwanda
225, Platoon,1986,2h,15,8.1, (458K),platoon
226, The Best Years of Our Lives,1946,2h 50m,U,8.1, (75K),the best years of our lives
227, Before Sunset,2004,1h 20m,15,8.1, (304K),before sunset
228, The Exorcist,1973,2h 2m,X,8.1, (481K),the exorcist
229, The Sound of Music,1965,2h 52m,U,8.1, (278K),the sound of music
230, The Incredibles,2004,1h 55m,U,8.0, (861K),the incredibles
231, The Wizard of Oz,1939,1h 42m,A,8.1, (453K),the wizard of oz
232, Hachi: A Dog's Tale,2009,1h 33m,U,8.1, (330K),hachi: a dog's tale
233, The Passion of Joan of Arc,1928,1h 50m,A,8.1, (66K),the passion of joan of arc
234, Rush,2013,2h 3m,15,8.1, (538K),rush
235, Stand by Me,1986,1h 29m,15,8.1, (467K),stand by me
236, My Father and My Son,2005,1h 52m,PG,8.2, (98K),my father and my son
237, The Iron Giant,1999,1h 26m,U,8.1, (247K),the iron giant
238, A Silent Voice,2016,2h 10m,12A,8.1, (123K),a silent voice
239, Network,1976,2h 1m,AA,8.1, (180K),network
240, The Handmaiden,2016,2h 25m,18,8.1, (190K),the handmaiden
241, The Battle of Algiers,1966,2h 1m,X,8.1, (72K),the battle of algiers
242, To Be or Not to Be,1942,1h 39m,U,8.1, (48K),to be or not to be
